Transcrição


0:15 Inicialmente, eu gostaria de entender quando
0:25 e por que sua organização decidiu implementar as  metodologias ágeis nos processos de de auditoria
0:31 você puder contar um pouco como foi o início  aí da da implantação da auditoria ágil tá bom?
0:37 ah não lembro exatamente a data aqui mas acho  que faz mais de 5 anos eh o objetivo era a
0:47 gente primeiro acompanhar ali a evolução  da organização que tava mudando um modelo
0:52 projetizado para um modelo ágil e acho que a  gente entendia que que traria alguns benefícios
1:00 e ah começamos a pilotar com algumas gerências  acho que o resultado foi positivo né tá cada
1:07 vez mais a gente ter a consegui compartilhar as  informações entre o time E aí aos poucos a gente
1:13 foi expandindo para toda a auditoria eh e hoje em  dia a gente tem até um um AJ Coach aqui dedicado a
1:20 dentro da auditoria tá Ah esse início aí foi foi  Teve alguma pressão externa interna assim de de
1:30 algum contexto específico como vocês eh como é que  você viu isso aí acontecendo dentro da auditoria
1:36 tá bom ah acho pressão acho que não teve acho que  foi mais eh realmente acompanhar o o movimento do
1:46 do banco da área de tecnologia que tava mudando  área de RH mudando área de marke diversas áreas
1:52 a gente escutando eh e acompanhando que era um  movimento bastante Positivo né observando aqui
41:16  é muito rpa mais a ferramenta da da IBM rpa gerado  aqui com o eh Microsoft 365 certo e uma questão
41:28  de de Inteligência Artificial como é que tá sendo  uso aí pela equipe de auditoria pela auditoria em
41:35  geral né de forma super intensa é um uma avalanche  de uso de Inteligência Artificial generativo
41:43  aqui Inteligência Artificial já se utilizava há  bastante tempo aqui para modelos de e de machine
41:51  learning modelos mais complexos aqui que o time  de cientistas de dados da auditoria sempre usou
41:58  e tentou eh distribuir aqui na tentar fazer de  uma forma que a auditoria toda pudesse sempre
42:05  utilizar o modelo que eles criassem né agora a  generativa cara a galera tá fazendo um monte de
42:11  exemplos aqui usando para diversos testes Tem uma  galera lá de seguros que fez um fez um teste assim
42:20  é Eh vamos dar um exemplo do pessoal de fundos  ali Man aquelas lâminas que você tem de fundo
42:27  que você coloca na internet você fala assim ó o  fundo fundo xpto ele é investe tanto risco é tanto
42:37  e o banco sei lá tem 300 Fundos né a galera fazer  auditoria P olhava um por um Então os Car usaram
42:47  a i generativa PDF Bota fala qual que é o padrão  lá e a ferramenta d todas as as aqui de forma mais
42:58  mais rápida né cara fora tem um monte de exemplos  aqui a galera tá usando tá usando direto e a gente
43:06  para uma ferramenta forte aqui pra gente revisar  relatório então a a escrita do relatório cara hoje
43:13  todo o relatório todo mundo escreve bonito hoje  porque você vai lá e escreve bota lá e fala revisa
43:19  meu texto e e melhora né pô é aquele parágrafo  bonitão né você coloca lá no no relatório
43:28  certo eh a gente sa esse bloco aí de de futuro  do ajo eh umas questões específicas aqui de
43:36  questões demográficas né Eh seu cargo atual na na  organização gerente de auditoria a sua experiência
43:44  total em auditoria em anos 12 anos ah 13 anos 13  é ah Quanto tempo você atua como leer de equipe da
43:57  auditoria 13 anos 13 anos ah Quantos  auditores você lidera atualmente oito
44:08  e a sua principal área de especialização  eh como é que você chama aí dentro da
44:16  auditoria como é a a a o que que eu  audito audito processo de prevenção
44:27  uma frud seria essa a pergunta canais digitais  isso sua suas sua principal área de especialização aí na auditoria né Qual seu Tá bom então hoje  audito os processos de prevenção a fraudes e e
44:39  audito os canais digitais tá eh finalizando Você  tem algum comentário adicional que você gostaria
44:49  de compartilhar Algum insite cara Acho que não  né não entrevista aí tá bem completa n tem um
44:57  monte coisa aí que às vezes ten até dúvida aqui  resgatar lá na memória o que que tá acontecendo
45:03  né que aconteceu Ok então Eh os próximos passos  agora a gente vai vai continuar a conversa né com
45:13  os outros auditores se indicou né a gente vai  começar dar início a tabulação a transcrição e
45:19  aí a gente volta para uma rodada de compartilhar  essas informações né então só para encerrar aqui o
45:27  Cola agradeço aí pela sua contribuição e vou  parar a gravação aqui beleza obrigado Marco falou
45:36  Roberto O que que o que que tava ruim aí Marco  nessas perguntas que tá ruim funcional é o que que
45:56  os caras vão sentir dificuldade que parece meio  descolado do do assunto tem algo assim o que eu
46:05  tive mais dificuldade é quando a gente fala mais  sobre o passado né quando a gente fala sobre o presente futuro tá tudo mais fresco na na memória  quando fala no passado eh quando que começou a
46:17  mudança esse tipo de coisa que eu tive mais tenho  mais dificuldade para para relembrar esse são são
46:22  itens que talvez seja fresco na cabeça da Andre  por exemplo ela vive fazendo as as apresentações
46:30  ela tem lá um PowerPoint com as datas de quando  quando implementou e e bem ali estruturado Que que
46:38  foi acontecendo agora do do dia a dia aqui acho tá  acho que tá tá fácil de de responder e do Futuro
46:48  também quando o Roberto pergunta você sente você  se sentiu eh desinibido para responder ou aquilo
46:58  ali ou era uma algo que digamos te impedia ou te  dificultava raciocinar de algum jeito ou não você
47:10  acha que isso vai acontecer com os caras de algum  jeito acho que não o pessoal que eu indiquei aqui
47:17  são as pessoas mais descoladas ali não não por  isso a maneira do tô tentando torturar o Roberto
47:24  aqui para ver se ele qual se a forma de fazer eu  não sou especialista nem nem de perto né nem de
47:33  longe né Eu sou especialista em entrevista né Tá  eu não sei como eu deixaria tenho certeza que eu
47:41  intimidar o entrevistado se eu fosse perguntar  a minha maneira de ser de falar então eu creio
47:48  que aí eu perguntando se o Roberto tem isso ele se  ele estimula a falar mais ou menos acho que menos
47:56  nãoé não parece isso é que talvez parece meio meio  mecânico assim a pergunta dele acho que não é acho
48:03  que eh é de não ter a vivência aqui um pouco da  da auditoria né tá gravando aí ainda viu Roberto
48:10  tá gravando é é sacanagem hein [ __ ] é foi um  truque Não sei não sei que se você queria deixar
